nct_number,study_title,study_status,has_results,condition_raw,condition_category,intervention_raw,intervention_category,sex,age_group,enrollment,funder_type,study_type,start_year,completion_year,first_posted_year,country
NCT06746987,The Effect of Meditation Applied to Elderly Individulas on Sleep Quality and Psychological Well- Being,Enrolling By Invitation,No,Sleep Quality and Psychological Well- Being,Sleep / Fatigue,OTHER: Meditation,Meditation (General),ALL,Adult + Older,34,OTHER,Interventional,2025,2025,2024,Turkey
NCT06424951,Kindness is Lesser Preferable Than Happiness: Investigating Interest in Different Effects of the Loving-kindness and Com,Completed,No,Meditation,Well-being / Mental Health,BEHAVIORAL: LKCM(Loving-kindness and Compassion Meditations),Loving-Kindness / Compassion,ALL,All ages,1658,OTHER,Interventional,2019,2020,2024,China
NCT02096484,A Feasibility Study of Group Metacognitive Therapy Versus Mindfulness Meditation Therapy,Completed,No,Generalized Anxiety Disorder,Anxiety,BEHAVIORAL: Group Metacognitive Therapy|BEHAVIORAL: Mindfulness Meditation Therapy,Mindfulness (General),ALL,Adult + Older,40,OTHER,Interventional,2014,2016,2014,United Kingdom
NCT07263828,Breath Meditation on the Older People,Completed,No,Individuals Over 65 Years of Age,Other,OTHER: breathing meditation,Meditation (General),ALL,Adult + Older,128,OTHER,Interventional,2024,2025,2025,Turkey
NCT01537679,Meditation to Reduce Caregiver Stress,Completed,No,Depression NOS|Major Depressive Disorder|Anxiety NOS,Depression,BEHAVIORAL: Kirtan Kriya meditation|BEHAVIORAL: Relaxation,Meditation (General),ALL,Adult + Older,40,OTHER,Interventional,2010,2012,2012,United States
NCT02313779,Meditation and Decision Making Study III,Completed,No,Meditation,Well-being / Mental Health,BEHAVIORAL: Lovingkindness Meditation (LKM)|BEHAVIORAL: Mindfulness Meditation,Mindfulness (General),ALL,Adult only,240,OTHER,Interventional,2014,2015,2014,United States
NCT07201220,Meditation in Early Labor: Impact on Self-Efficacy and Childbirth Fear in First-Time Mothers,Recruiting,No,Meditation,Well-being / Mental Health,BEHAVIORAL: meditation,Meditation (General),FEMALE,Adult + Older,60,OTHER,Interventional,2025,2025,2025,Turkey
NCT07122843,VR AI Meditation for Pain,Recruiting,No,Pain and Anxiety,Pain,DEVICE: VR Guided Meditation,Meditation (General),ALL,Adult + Older,38,OTHER,Interventional,2025,2027,2025,United States
NCT07165795,Pilot Study to Evaluate the Effect of Transcendental Meditation on Telomere Activity and Well-Being Among Nurse Managers,Enrolling By Invitation,No,Meditation,Well-being / Mental Health,BEHAVIORAL: Transcendental Meditation,Transcendental Meditation,ALL,Adult + Older,30,OTHER,Interventional,2025,2027,2025,United States
NCT04632875,Online Trial of Meditation and Behavior,Completed,No,Meditation,Well-being / Mental Health,BEHAVIORAL: Loving-Kindness Meditation|BEHAVIORAL: Relaxation Meditation,Loving-Kindness / Compassion,ALL,Adult only,75,OTHER,Interventional,2020,2021,2020,United States
NCT03117478,Brain and Mindfulness,Completed,No,Healthy,Healthy Volunteers,OTHER: Magneto-encephalography (MEG)|OTHER: Electro-encephalography (EEG)|OTHER: Functional Magnetic,Meditation (General),ALL,Adult + Older,169,OTHER,Interventional,2016,2019,2017,France
NCT05314166,Impact of Face-to-face Meditation on Non-attachment to Self and Identity Threat,Unknown,No,Meditation,Well-being / Mental Health,OTHER: meditation practice,Meditation (General),ALL,Adult + Older,200,OTHER,Interventional,2022,2023,2022,
NCT03459690,EEG Changes With Guided Online Meditation,Completed,Yes,Meditation,Well-being / Mental Health,BEHAVIORAL: Meditation|DEVICE: Enobio 32- EEG machine,Meditation (General),ALL,Adult + Older,13,OTHER,Interventional,2018,2019,2018,United States
NCT05285488,Impact of Distance Meditation on Non-attachment to the Self and Identity Threat,Unknown,No,Meditation,Well-being / Mental Health,"OTHER: ""focused attention"" group",Other,ALL,Adult + Older,200,OTHER,Interventional,2022,2023,2022,France
NCT06500377,Comparing the Impact of Four Types of Meditation Practices for Relaxation in Cancer Survivors,Recruiting,No,Hematopoietic and Lymphatic System Neoplasm|Malignant Solid Neoplasm,Cancer,PROCEDURE: Biospecimen Collection|PROCEDURE: Meditation Therapy|PROCEDURE: Meditation Therapy|PROCED,Meditation (General),ALL,Adult + Older,44,OTHER,Interventional,2024,2026,2024,United States
NCT06560658,Optimizing Microdosing and Meditation,Withdrawn,No,Meditation|Microdosing,Well-being / Mental Health,DRUG: Psilocybin|BEHAVIORAL: Meditation,Meditation (General),ALL,Adult + Older,0,OTHER,Interventional,2024,2025,2024,United States
NCT02280304,Meditation in Veterans With PTSD and Mild TBI,Completed,Yes,"Stress Disorders, Post-Traumatic|Concussion, Mild",PTSD / Trauma,BEHAVIORAL: Inner Resources for Veterans (IRV)|BEHAVIORAL: Essential Skills therapy,Other,ALL,Adult only,46,FED,Interventional,2014,2018,2014,United States
NCT04721379,Effect of Heartfulness Meditation on Brain Waves and How Calm One Feels During Meditation,Unknown,No,Anxiety|Stress,Anxiety,BEHAVIORAL: Meditation,Meditation (General),ALL,Adult + Older,80,OTHER,Interventional,2021,2023,2021,United States
NCT02988271,Meditation Therapy in Improving Anxiety and Depression in Cancer Patients With Psychosocial Distress,Active Not Recruiting,No,Anxiety|Depression|Malignant Neoplasm,Cancer,OTHER: Interview|PROCEDURE: Meditation Therapy|PROCEDURE: Quality-of-Life Assessment|PROCEDURE: Supp,Meditation (General),ALL,Adult + Older,35,OTHER,Interventional,2019,2028,2016,United States
NCT01532999,A Multisite Randomized Controlled Trial of Mindfulness Meditation Therapy for PTSD,Completed,Yes,Posttraumatic Stress Disorder,PTSD / Trauma,BEHAVIORAL: Mindfulness Based Stress Reduction|BEHAVIORAL: Present Centered Group Therapy,Mindfulness (General),ALL,Adult + Older,254,FED,Interventional,2012,2014,2012,United States
NCT03574766,Meditation for NICU Moms,Completed,No,"Breast Feeding|Premature Birth|Stress|Depression, Postpartum|Anxiety|Self Efficacy|Behavior, Materna",Depression,BEHAVIORAL: Meditation,Meditation (General),FEMALE,All ages,70,OTHER,Interventional,2018,2019,2018,United States
NCT05020301,Investigation of Functional Brain Network in Altered Meditation State With Multimodal Neuroimaging,Unknown,No,Meditation|Mindfulness,Well-being / Mental Health,DEVICE: external meditation guided audio|DEVICE: internal meditation guided audio,Meditation (General),ALL,Adult only,30,OTHER,Interventional,2020,2022,2021,China
NCT04557033,My Mindful Moments: A Mindfulness Meditation and Digital Art Activity,Completed,No,Mindfulness|Meditation,Well-being / Mental Health,OTHER: Mindfulness intervention,Mindfulness (General),ALL,Adult + Older,16,OTHER,Interventional,2021,2022,2020,United States
NCT06678087,Meditation for Preparation for Birth and Motherhood Given with Thetahealing Meditation Method,Completed,No,Meditation|Fear of Labor|Thetahealing Meditation,Well-being / Mental Health,OTHER: motherhood preparation meditation training prepared with the thetahealing meditation method|O,Meditation (General),FEMALE,Adult only,100,OTHER,Interventional,2024,2024,2024,Turkey
NCT02655835,Internet Mindfulness Meditation Intervention,Completed,No,Stress,Stress / Burnout,BEHAVIORAL: Internet Mindfulness Meditation|BEHAVIORAL: Access,Mindfulness (General),ALL,Adult + Older,52,OTHER,Interventional,2014,2015,2016,
NCT05455814,Brain Health With Inner Engineering Meditation,Completed,No,Meditation|Brain; Agenesis,Neurological / Cognitive,BEHAVIORAL: Shambhavi Madamudra Kriya,Other,ALL,Adult + Older,77,OTHER,Interventional,2023,2025,2022,United States
NCT05669066,Meditation and Opioid Consumption in Total Joint Replacement Patients Undergo Primary Total Hip and Knee Replacement,Completed,No,Arthropathy of Knee|Osteo Arthritis Knee|Osteonecrosis|Meditation|Knee Osteoarthritis|Knee Disease|K,Pain,BEHAVIORAL: Mindful meditation,Meditation (General),ALL,Adult + Older,29,OTHER,Interventional,2017,2021,2022,United States
NCT01827033,Effects of Meditation,Terminated,No,Meditation Training,Well-being / Mental Health,BEHAVIORAL: meditation training,Meditation (General),ALL,Adult only,6,OTHER,Interventional,2013,2013,2013,United States
NCT07098208,The Effect of Twin Heart Meditation on Exam Anxiety of Nursing Students,Completed,No,Exam Anxiety|Meditation,Anxiety,BEHAVIORAL: Twin Heart Meditation,Meditation (General),ALL,All ages,100,OTHER,Interventional,2024,2024,2025,Cyprus
NCT01671436,Meditation for Depression,Completed,No,Depression,Depression,BEHAVIORAL: Central Meditation and Imagery Therapy,Meditation (General),ALL,Adult + Older,13,OTHER,Interventional,2012,2014,2012,United States
NCT03198039,Guided Meditation as an Adjunct to Enhance Postoperative Recovery,Completed,No,Feasibility of a Meditation Program Perioperatively,Well-being / Mental Health,BEHAVIORAL: Meditation,Meditation (General),ALL,Adult + Older,29,OTHER,Interventional,2017,2020,2017,United States
NCT06615531,Integrating Magnetic Imaging With Rich Phenotypes,Completed,No,Intensive Meditation in Novice and Experienced Meditators,Well-being / Mental Health,BEHAVIORAL: Advanced multi-component meditation practice,Meditation (General),ALL,Adult + Older,21,INDUSTRY,Observational,2022,2023,2024,United States
NCT05474547,Meditation and Youth Mental Health,Unknown,No,Healthy,Healthy Volunteers,BEHAVIORAL: Meditation,Meditation (General),ALL,Child + Adult,14,OTHER,Interventional,2023,2023,2022,
NCT05837481,Guided Meditation to Decrease Perioperative Anxiety and Increase Patient Intraoperative Compliance in Vascular Surgery,Completed,Yes,Peripheral Vascular Disease,Other,BEHAVIORAL: Meditation,Meditation (General),ALL,Adult + Older,30,OTHER,Interventional,2023,2024,2023,United States
NCT03097510,Meditation and Emotional Intelligence,Completed,No,Job Stress|Perceived Stress,Stress / Burnout,BEHAVIORAL: Transcendental meditation,Transcendental Meditation,ALL,All ages,96,OTHER,Interventional,2009,2011,2017,
NCT03079817,Proprioception and Meditation,Completed,No,Parkinson Disease|Proprioceptive Disorders|Movement Disorders,Neurological / Cognitive,OTHER: Yoga Meditation|OTHER: Proprioceptive Drills,Yoga,ALL,Adult + Older,20,OTHER,Interventional,2017,2019,2017,United States
NCT06282913,The Effect of Mindfulness Meditation,Not Yet Recruiting,No,Burnout|Compassion Fatigue|Psychological Well-Being,Stress / Burnout,BEHAVIORAL: Mindfulness Meditation,Mindfulness (General),ALL,Adult + Older,64,OTHER_GOV,Interventional,2025,2025,2024,Turkey
NCT01251341,The Compassion and Attention Longitudinal Meditation Study,Completed,No,Immune System Processes|Inflammatory Activation and Modulation|ANS Function,Immune / Inflammatory,BEHAVIORAL: Cognitive-Based Compassion Training|BEHAVIORAL: Mindful Attention Training|BEHAVIORAL: A,Loving-Kindness / Compassion,ALL,Adult only,226,OTHER,Interventional,2009,2014,2010,United States
NCT04804462,Virtual Reality Meditation for Fatigue,Completed,No,Fatigue|Rheumatoid Arthritis,Pain,DEVICE: Virtual Reality Meditation,Meditation (General),ALL,Adult + Older,16,OTHER,Interventional,2019,2021,2021,United States
NCT06765889,Mindfulness-Based Intervention for Stress Reduction in Adult Singaporeans a Pilot Study,Completed,Yes,Mindfulness Meditation,Well-being / Mental Health,BEHAVIORAL: Mindfulness intervention|BEHAVIORAL: Control condition,Mindfulness (General),ALL,Adult + Older,60,OTHER,Interventional,2025,2025,2025,Singapore
NCT04252976,Meditation Based Lifestyle Modification in Healthy Individuals,Completed,No,Mantra Meditation|Mantra Meditation + Body-Oriented Yoga|Mantra Meditation + Ethical Living|Mantra M,Well-being / Mental Health,BEHAVIORAL: Ethical Living|BEHAVIORAL: Yoga Exercises|BEHAVIORAL: Mantra Meditation,Yoga,ALL,Adult + Older,57,OTHER,Interventional,2019,2019,2020,Germany
NCT06274034,MUSE-S Headband System for Improving Anxiety and Insomnia Among Breast Cancer Survivors,Recruiting,No,Breast Carcinoma,Cancer,OTHER: Electronic Health Record Review|OTHER: Medical Device Usage and Evaluation|PROCEDURE: Meditat,Meditation (General),FEMALE,Adult + Older,40,OTHER,Interventional,2024,2029,2024,United States
NCT01047917,Meditation to Reduce Stress and Improve Quality of Life,Completed,No,Stress,Stress / Burnout,BEHAVIORAL: Meditation DVD,Meditation (General),ALL,Adult + Older,17,OTHER,Interventional,2008,2008,2010,United States
NCT04410185,"Pain of Patients, Suffering of Caregivers: Evaluation of the Benefit of Full Consciousness Meditation in Oncology",Completed,No,Cancer|Pain,Cancer,BEHAVIORAL: Meditation,Meditation (General),ALL,Adult + Older,31,OTHER,Interventional,2020,2021,2020,France
NCT03330665,Meditation and Student Empathy,Completed,No,Stress|Empathy,Stress / Burnout,BEHAVIORAL: Meditation,Meditation (General),ALL,Adult + Older,78,OTHER,Interventional,2016,2021,2017,
NCT01975415,Digital Medicine in Meditation,Completed,No,Biometric Changes During Meditation,Well-being / Mental Health,,Other,ALL,Adult + Older,40,OTHER,Observational,2013,2013,2013,United States
NCT06972303,Mindfulness Meditation for Insomnia,Recruiting,No,Sleep Initiation and Maintenance Disorders|Insomnia|Insomnia Chronic|Mindfulness|Telemedicine,Sleep / Fatigue,BEHAVIORAL: Instructed bedtime app-guided mindfulness meditation|BEHAVIORAL: Uninstructed app-guided,Mindfulness (General),ALL,Adult + Older,30,OTHER,Interventional,2026,2028,2025,United States
NCT04303013,Guided Meditation During Radiotherapy.,Completed,No,Quality of Life|Relaxation During Radiation Therapy|Cancer|Radiation Toxicity,Cancer,BEHAVIORAL: Meditation|OTHER: Standard of Care,Meditation (General),ALL,Adult + Older,75,OTHER,Interventional,2019,2023,2020,United States
NCT06783946,"Meditation Effects on Discomfort, Pain InTerference, and AnxieTy After urEteroscopy",Enrolling By Invitation,No,"Kidney Stone|Pain, Postoperative|Anxiety Postoperative",Pain,BEHAVIORAL: Meditation,Meditation (General),ALL,All ages,50,OTHER,Interventional,2024,2026,2025,United States
NCT06065709,Mindfulness Breath Awareness Meditation and Preeclampsia,Unknown,No,Mindfulness Breath Awareness Meditation|Preeclampsia,Well-being / Mental Health,BEHAVIORAL: Mindfulness breath awareness meditation,Mindfulness (General),FEMALE,Adult only,66,OTHER,Interventional,2023,2024,2023,Turkey
NCT06518031,The Effects of Meditation on Stress and Fatigue,Completed,No,Intensive Care Nurses,Other,OTHER: meditation,Meditation (General),ALL,Adult + Older,40,OTHER,Interventional,2021,2022,2024,Turkey
NCT03915912,Mindfulness Meditation in Glioma Patients,Completed,No,Malignant Glioma,Other,BEHAVIORAL: Mindfulness meditation,Mindfulness (General),ALL,Adult + Older,17,OTHER,Interventional,2019,2020,2019,United States
NCT03532607,The Effect of Music Meditation Therapy in Patients With Chronic Pain Receiving Botox,Unknown,No,Pain,Pain,OTHER: Music,Other,ALL,Adult only,98,OTHER,Interventional,2015,2020,2018,United States
NCT06180486,Mindfulness Meditation Intervention Study,Completed,No,Total Knee Replacement|Mediation|Feasibility,Other,OTHER: Mindfulness Meditation Intervention,Mindfulness (General),ALL,Adult + Older,30,OTHER,Interventional,2024,2025,2023,United States
NCT01833442,Randomized Controlled Meditation Trial for Treating OCD,Completed,No,OCD,Other,BEHAVIORAL: Kundalini Yoga Meditation|BEHAVIORAL: Relaxation Response Meditation,Yoga,ALL,Adult + Older,50,OTHER,Interventional,2011,2013,2013,Brazil
NCT01835457,Concentration/Meditation Limits Inflammation,Completed,No,Autoimmune Diseases,Immune / Inflammatory,DRUG: Lipopolysaccharide|BEHAVIORAL: Concentration/meditation,Meditation (General),MALE,Adult only,30,OTHER,Interventional,2013,2013,2013,Netherlands
NCT05098002,Mindfulness Meditation,Completed,No,Cancer,Cancer,BEHAVIORAL: Mindfulness program,Mindfulness (General),ALL,Adult + Older,57,OTHER,Interventional,2022,2023,2021,United States
NCT04687904,Mindfulness Meditation for Epilepsy,Completed,No,Epilepsy|Healthy Subjects,Neurological / Cognitive,BEHAVIORAL: Mindfulness meditation training|BEHAVIORAL: Therapeutic education,Mindfulness (General),ALL,All ages,37,OTHER,Interventional,2021,2024,2020,France
NCT04312191,Using Meditation for Oncology Anxiety,Withdrawn,No,Anxiety|Quality of Life|Prostate Cancer|Prostate Cancer Recurrent,Cancer,OTHER: Mantra Meditation,Meditation (General),MALE,Adult + Older,0,OTHER,Interventional,2025,2026,2020,
NCT05812443,Assessment of Sleep Quality and Mental Health After Using Meditation,Unknown,No,Insomnia|Insomnia Chronic|Insomnia Disorder|Sleep Disorder|Anxiety Disorders|Stress Disorder|Depress,Depression,OTHER: Shabad Kriya Meditation|OTHER: Relaxing reading,Meditation (General),ALL,Adult + Older,174,OTHER,Interventional,2023,2024,2023,Brazil
NCT02686333,Meditation for Depression and Anxiety Symptoms in Dialysis Patients,Completed,No,Depression|Anxiety,Depression,OTHER: Meditation,Meditation (General),ALL,Adult + Older,50,OTHER,Interventional,2016,2017,2016,Canada
NCT06360497,The Effect of Mindfulness Meditation and Loving-kindness and Compassion Meditation on Psychological Distress,Completed,No,MM Group|LKCM Group|Waitlist Group,Other,OTHER: mindfulness meditation intervention and loving-kindness and compassion meditation interventio,Loving-Kindness / Compassion,ALL,Adult only,152,OTHER,Interventional,2022,2022,2024,China
NCT03445572,Meditative Slow Breathing or Isha Kriya Meditation in Improving Cancer-Related Symptoms in Hospitalized Participants Wit,Completed,No,Malignant Neoplasm,Cancer,OTHER: Best Practice|PROCEDURE: Meditation Therapy|PROCEDURE: Meditation Therapy|OTHER: Questionnair,Meditation (General),ALL,Adult + Older,41,OTHER,Interventional,2018,2020,2018,United States
NCT05217602,Incentivizing Meditation App Habit Formation,Completed,No,"Stress|Adherence, Treatment",Stress / Burnout,BEHAVIORAL: AC+ARwdC|BEHAVIORAL: AC+RwdC|BEHAVIORAL: Usual Calm Control (UC),Other,ALL,Adult + Older,597,OTHER,Interventional,2022,2022,2022,United States
