group,subject_id,condition,beat_number,elapsed_sec,relative_sec,relative_min,normalized_position,heart_rate_bpm,recording_duration_sec
chi_meditation,C1,meditation,1,19149.633,0.0,0.0,0.0,64.52,3325.8
chi_meditation,C1,meditation,21,19168.805,19.172,0.32,0.0058,60.0,3325.8
chi_meditation,C1,meditation,41,19187.297,37.664,0.628,0.0113,74.53,3325.8
chi_meditation,C1,meditation,61,19203.93,54.297,0.905,0.0163,67.95,3325.8
chi_meditation,C1,meditation,81,19222.07,72.437,1.207,0.0218,62.96,3325.8
chi_meditation,C1,meditation,101,19240.492,90.859,1.514,0.0273,64.52,3325.8
chi_meditation,C1,meditation,121,19259.062,109.429,1.824,0.0329,65.65,3325.8
chi_meditation,C1,meditation,141,19275.469,125.836,2.097,0.0378,62.96,3325.8
chi_meditation,C1,meditation,161,19293.125,143.492,2.392,0.0431,66.82,3325.8
chi_meditation,C1,meditation,181,19310.484,160.851,2.681,0.0484,63.49,3325.8
chi_meditation,C1,meditation,201,19326.805,177.172,2.953,0.0533,62.44,3325.8
chi_meditation,C1,meditation,221,19345.133,195.5,3.258,0.0588,62.96,3325.8
chi_meditation,C1,meditation,241,19362.18,212.547,3.542,0.0639,70.42,3325.8
chi_meditation,C1,meditation,261,19379.859,230.226,3.837,0.0692,77.62,3325.8
chi_meditation,C1,meditation,281,19397.594,247.961,4.133,0.0746,80.0,3325.8
chi_meditation,C1,meditation,301,19415.102,265.469,4.424,0.0798,66.23,3325.8
chi_meditation,C1,meditation,321,19432.758,283.125,4.719,0.0851,69.85,3325.8
chi_meditation,C1,meditation,341,19448.844,299.211,4.987,0.09,60.98,3325.8
chi_meditation,C1,meditation,361,19467.867,318.234,5.304,0.0957,77.62,3325.8
chi_meditation,C1,meditation,381,19485.789,336.156,5.603,0.1011,62.96,3325.8
chi_meditation,C1,meditation,401,19501.805,352.172,5.87,0.1059,66.23,3325.8
chi_meditation,C1,meditation,421,19518.094,368.461,6.141,0.1108,69.2,3325.8
chi_meditation,C1,meditation,441,19535.695,386.062,6.434,0.1161,77.62,3325.8
chi_meditation,C1,meditation,461,19553.023,403.39,6.723,0.1213,78.33,3325.8
chi_meditation,C1,meditation,481,19569.453,419.82,6.997,0.1262,70.42,3325.8
chi_meditation,C1,meditation,501,19587.203,437.57,7.293,0.1316,67.95,3325.8
chi_meditation,C1,meditation,521,19605.547,455.914,7.599,0.1371,64.52,3325.8
chi_meditation,C1,meditation,541,19621.312,471.679,7.861,0.1418,65.65,3325.8
chi_meditation,C1,meditation,561,19638.5,488.867,8.148,0.147,66.82,3325.8
chi_meditation,C1,meditation,581,19655.547,505.914,8.432,0.1521,87.21,3325.8
chi_meditation,C1,meditation,601,19673.055,523.422,8.724,0.1574,76.82,3325.8
chi_meditation,C1,meditation,621,19690.5,540.867,9.014,0.1626,88.24,3325.8
chi_meditation,C1,meditation,641,19708.188,558.555,9.309,0.1679,73.17,3325.8
chi_meditation,C1,meditation,661,19725.031,575.398,9.59,0.173,75.28,3325.8
chi_meditation,C1,meditation,681,19741.43,591.797,9.863,0.1779,73.17,3325.8
chi_meditation,C1,meditation,701,19757.789,608.156,10.136,0.1829,63.49,3325.8
chi_meditation,C1,meditation,721,19775.711,626.078,10.435,0.1883,62.96,3325.8
chi_meditation,C1,meditation,741,19792.773,643.14,10.719,0.1934,62.44,3325.8
chi_meditation,C1,meditation,761,19808.812,659.179,10.986,0.1982,62.44,3325.8
chi_meditation,C1,meditation,781,19825.68,676.047,11.267,0.2033,82.53,3325.8
chi_meditation,C1,meditation,801,19841.812,692.179,11.536,0.2081,92.59,3325.8
chi_meditation,C1,meditation,821,19858.633,709.0,11.817,0.2132,85.35,3325.8
chi_meditation,C1,meditation,841,19874.742,725.109,12.085,0.218,84.39,3325.8
chi_meditation,C1,meditation,861,19891.594,741.961,12.366,0.2231,71.09,3325.8
chi_meditation,C1,meditation,881,19907.359,757.726,12.629,0.2278,63.49,3325.8
chi_meditation,C1,meditation,901,19923.648,774.015,12.9,0.2327,60.98,3325.8
chi_meditation,C1,meditation,921,19940.812,791.179,13.186,0.2379,61.92,3325.8
chi_meditation,C1,meditation,941,19956.938,807.305,13.455,0.2427,60.0,3325.8
chi_meditation,C1,meditation,961,19973.164,823.531,13.726,0.2476,63.49,3325.8
chi_meditation,C1,meditation,981,19990.18,840.547,14.009,0.2527,76.05,3325.8
chi_meditation,C1,meditation,1001,20007.945,858.312,14.305,0.2581,82.53,3325.8
chi_meditation,C1,meditation,1021,20024.312,874.679,14.578,0.263,89.29,3325.8
chi_meditation,C1,meditation,1041,20041.883,892.25,14.871,0.2683,69.2,3325.8
chi_meditation,C1,meditation,1061,20057.578,907.945,15.132,0.273,64.52,3325.8
