responseid,site,condition,is_mindfulness,age,gender_label,country_live,country_birth,english_first_language,eng_level,meditation_naive,duration_in_seconds,progress,finished,stai_total,stai1,stai2,stai3,stai4,stai5,stai6,stai7,stai8,stai9,stai10,stai11,stai12,stai13,stai14,stai15,stai16,stai17,stai18,stai19,stai20,sam_valence,sam_arousal,sam_dominance,ipip1,ipip2,ipip3,ipip4,ipip5,ipip6,ipip7,ipip8,ipip9,ipip10,ipip11,ipip12,ipip13,ipip14,ipip15,ipip16,ipip17,ipip18,ipip19,ipip20,ipip_raw_mean
R_RfODU2Z0XmNaM3T,quee,mindful_breathing,1,18.0,female,Australia,Australia,1,3.0,1,1659,100,1,60.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.3
R_1MWmw1PL5un03D7,loyo,control_book,0,,female,United States,United States,1,3.0,1,2074,100,1,48.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.1
R_wTs4piJ36H9AF33,loyo,mindful_walking,1,,female,United States,United States,1,3.0,1,1667,100,1,49.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R_cCODUT3pUBZtP7H,quee,mindful_breathing,1,18.0,female,Australia,Australia,1,3.0,1,1233,100,1,28.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,4.0,3.0,7.0,5.0,6.0,3.0,3.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.25
R_Zei3resrjM48EDv,quee,loving_kindness,1,18.0,female,Australia,Australia,1,3.0,1,1458,100,1,31.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,4.0,7.0,2.0,6.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,2.0,3.3
R_TuN7xTMLA9zxh6N,loyo,body_scan,1,,female,United States,United States,1,3.0,1,1124,100,1,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.95
R_sMdFFBVyJocxGfL,loyo,control_book,0,,female,United States,United States,1,3.0,1,1139,100,1,50.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R_SJijMuqXPCAEKKl,spri,mindful_breathing,1,,female,999,999,0,3.0,1,1479,100,1,31.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,8.0,3.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,2.55
R_3D7466Fmxa1RWMl,quee,control_book,0,19.0,male,Australia,Australia,1,3.0,1,1041,100,1,47.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,6.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,3.75
R_2fr1SRZbINTZqfj,quee,loving_kindness,1,20.0,female,Australia,Germany,0,3.0,1,1115,100,1,54.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.95
