uid	r	direction	n_days
u42	0.8429	positive	6
u56	-0.7437	negative	7
u25	-0.6592	negative	8
u54	0.6376	positive	9
u01	-0.4521	negative	18
u27	0.4044	positive	10
u17	0.3789	positive	20
u51	-0.3767	negative	13
u24	0.3356	positive	13
u35	-0.3347	negative	15
u49	0.3181	positive	31
u58	0.3162	positive	36
u45	0.3161	positive	7
u19	-0.2909	negative	45
u33	-0.2799	negative	26
u00	-0.2782	negative	27
u10	-0.2731	negative	30
u20	-0.2611	negative	6
u03	0.226	positive	11
u14	-0.2151	negative	16
u46	-0.2017	negative	13
u18	0.1911	positive	9
u04	0.1336	positive	19
u36	0.1261	positive	22
u15	0.1256	positive	6
u12	-0.1101	negative	14
u52	-0.1064	negative	19
u57	0.102	positive	40
u44	0.0952	positive	43
u32	-0.092	negative	32
u59	-0.0891	negative	49
u08	-0.055	negative	29
u23	-0.0544	negative	19
u53	0.0506	positive	12
